player_tag,player_name,war_id,race_date,clan_tag,fame,decks_used,previous_clan_rank,previous_clan_score,last_3_avg_clan_rank,last_3_avg_clan_score,clan_score_change,fame_per_deck,full_participation,participated,last_3_avg_fame,last_3_avg_decks,last_2_avg_decks,last_3_avg_efficiency,last_5_participation_rate,last_2_participation_rate,last_5_full_participation_rate,recent_active_wars,previous_war_fame,previous_war_decks,fame_trend,decks_change,last_3_fame_std,last_3_decks_std,previous_wars_count
#VQRJVQJG,VT | aitoor_cc,134-3-20260803T093004.000Z,2026-08-03 09:30:04,#8J0PUUG9,2400.0,16.0,1.0,7677.0,1.3333333333333333,7660.333333333333,20.0,150.0,1,1,1000.0,5.333333333333333,0.0,62.5,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,1732.0508075688772,9.237604307034013,3
#VQV80VJCV,Ares⚡️,134-3-20260803T093004.000Z,2026-08-03 09:30:04,#9VLJRY2J,0.0,0.0,4.0,5031.0,4.333333333333333,5044.333333333333,-10.0,0.0,0,0,2200.0,13.0,15.5,171.94444444444446,1.0,1.0,0.3333333333333333,3.0,2800.0,16.0,500.0,1.0,655.7438524302,4.358898943540674,3
#VQV80VJCV,Ares⚡️,135-1-20260817T094905.000Z,2026-08-17 09:49:05,#9VLJRY2J,900.0,4.0,4.0,5021.0,4.0,5031.0,-10.0,225.0,0,1,1700.0,10.333333333333334,8.0,109.44444444444446,0.75,0.5,0.25,2.0,0.0,0.0,-2800.0,-16.0,1493.3184523068078,8.962886439832502,4
#VQV80VJCV,Ares⚡️,135-3-20260831T094906.000Z,2026-08-31 09:49:06,#9VLJRY2J,0.0,0.0,1.0,4966.0,3.0,5006.0,-55.0,0.0,0,0,1233.3333333333333,6.666666666666667,2.0,133.33333333333334,0.8,0.5,0.2,2.0,900.0,4.0,900.0,4.0,1429.4521094927711,8.32666399786453,5
#VQV80VJCV,Ares⚡️,135-4-20260907T094904.000Z,2026-09-07 09:49:04,#9VLJRY2J,0.0,0.0,4.0,5001.0,3.0,4996.0,35.0,0.0,0,0,300.0,1.3333333333333333,2.0,75.0,0.6,0.5,0.2,1.0,0.0,0.0,-900.0,-4.0,519.615242270663,2.309401076758491,6
#VQY8JLU,Juan soler 3,135-3-20260831T094905.000Z,2026-08-31 09:49:05,#L02QGQ0,0.0,0.0,5.0,4947.0,3.6666666666666665,4950.333333333333,-10.0,0.0,0,0,366.6666666666667,2.6666666666666665,0.0,45.833333333333336,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,635.0852961085883,4.618802153517007,3
#VQY8JLU,Juan soler 3,135-4-20260907T094903.000Z,2026-09-07 09:49:03,#L02QGQ0,0.0,0.0,4.0,4927.0,4.333333333333333,4943.666666666667,-20.0,0.0,0,0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
#VQYV9JRVG,ayo42,134-3-20260803T094905.000Z,2026-08-03 09:49:05,#2LR92YQV,3100.0,16.0,1.0,5332.0,1.0,5312.0,20.0,193.75,1,1,2416.6666666666665,16.0,16.0,151.04166666666666,1.0,1.0,1.0,3.0,3100.0,16.0,900.0,0.0,604.8415770541352,0.0,3
#VR08YU8,mc,135-3-20260831T093905.000Z,2026-08-31 09:39:05,#YG0890P,1600.0,16.0,4.0,4942.0,3.3333333333333335,4947.0,-5.0,100.0,1,1,2166.6666666666665,14.333333333333334,14.0,153.05555555555554,1.0,1.0,0.3333333333333333,3.0,1600.0,16.0,-350.0,4.0,700.59498523279,2.0816659994661326,3
#VR08YU8,mc,135-4-20260907T093904.000Z,2026-09-07 09:39:04,#YG0890P,3300.0,16.0,4.0,4932.0,3.6666666666666665,4940.333333333333,-10.0,206.25,1,1,1716.6666666666667,14.666666666666666,16.0,120.83333333333333,1.0,1.0,0.5,3.0,1600.0,16.0,0.0,0.0,202.07259421636832,2.309401076758503,4
#VR0R90YV9,Cuttsy IV,135-4-20260907T094903.000Z,2026-09-07 09:49:03,#YY0YU92V,100.0,1.0,5.0,4998.0,4.666666666666667,5011.333333333333,-10.0,100.0,0,1,350.0,2.6666666666666665,0.0,43.75,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,606.2177826491071,4.618802153517007,3
#VR0UP8GLY,Tuca,134-3-20260803T095950.000Z,2026-08-03 09:59:50,#PLUR0QP2,0.0,0.0,5.0,5045.0,4.666666666666667,5061.666666666667,-20.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
#VR28YQP9Q,maite,134-2-20260727T093205.000Z,2026-07-27 09:32:05,#QVGQCR8R,3150.0,16.0,5.0,4823.0,4.0,4825.5,-5.0,196.875,1,1,2066.6666666666665,10.666666666666666,8.0,129.16666666666666,0.6666666666666666,0.5,0.6666666666666666,2.0,0.0,0.0,-3000.0,-16.0,1792.5772879665005,9.237604307034013,3
#VR28YQP9Q,maite,134-2-20260727T095905.000Z,2026-07-27 09:59:05,#YRQJUCR0,0.0,0.0,4.0,4378.0,4.0,4383.0,-10.0,0.0,0,0,2050.0,10.666666666666666,8.0,128.125,0.75,0.5,0.75,2.0,3150.0,16.0,3150.0,16.0,1776.9355643916863,9.237604307034013,4
#VR28YQP9Q,maite,134-3-20260803T093203.000Z,2026-08-03 09:32:03,#QVGQCR8R,3150.0,16.0,3.0,4808.0,3.6666666666666665,4819.666666666667,-15.0,196.875,1,1,1050.0,5.333333333333333,8.0,65.625,0.6,0.5,0.6,1.0,0.0,0.0,-3150.0,-16.0,1818.6533479473217,9.237604307034013,5
#VR28YQP9Q,maite,134-3-20260803T095904.000Z,2026-08-03 09:59:04,#YRQJUCR0,0.0,0.0,4.0,4368.0,4.0,4378.0,-10.0,0.0,0,0,2100.0,10.666666666666666,8.0,131.25,0.6,0.5,0.6,2.0,3150.0,16.0,3150.0,16.0,1818.6533479473212,9.237604307034013,6
#VR2QVULY8,shawn,135-4-20260907T095204.000Z,2026-09-07 09:52:04,#Q982YYRL,0.0,0.0,4.0,5085.0,4.0,5095.0,-10.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
#VRCUJ20G,Pac✨thfc,134-3-20260803T094905.000Z,2026-08-03 09:49:05,#2LR92YQV,0.0,0.0,1.0,5332.0,1.0,5312.0,20.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
#VRCUJ20G,Pac✨thfc,135-3-20260831T094906.000Z,2026-08-31 09:49:06,#9VLJRY2J,0.0,0.0,1.0,4966.0,3.0,5006.0,-55.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
#VRCUJ20G,Pac✨thfc,135-4-20260907T094904.000Z,2026-09-07 09:49:04,#9VLJRY2J,0.0,0.0,4.0,5001.0,3.0,4996.0,35.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
#VRG9QLRYY,cirito,135-3-20260831T093905.000Z,2026-08-31 09:39:05,#8Y9U9U2P,0.0,0.0,3.0,8779.0,2.3333333333333335,8767.333333333334,10.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
#VRG9QLRYY,cirito,135-4-20260907T093204.000Z,2026-09-07 09:32:04,#P2P2Y880,0.0,0.0,5.0,10635.0,5.0,10655.0,-20.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
#VRG9QLRYY,cirito,135-4-20260907T093904.000Z,2026-09-07 09:39:04,#8Y9U9U2P,0.0,0.0,2.0,8774.0,2.3333333333333335,8774.0,-5.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
#VRGYV9RQ8,Andrei,134-3-20260803T094905.000Z,2026-08-03 09:49:05,#U0UR2L,0.0,0.0,2.0,4905.0,2.0,4895.0,10.0,0.0,0,0,1533.3333333333333,8.0,6.0,127.77777777777777,0.6666666666666666,0.5,0.0,2.0,0.0,0.0,-2300.0,-12.0,1327.9056191361394,6.928203230275509,3
#VRL2RYP2R,TrafalgarDLaw,135-3-20260831T093905.000Z,2026-08-31 09:39:05,#YG0890P,1600.0,16.0,4.0,4942.0,3.3333333333333335,4947.0,-5.0,100.0,1,1,2666.6666666666665,16.0,16.0,166.66666666666666,1.0,1.0,1.0,3.0,1600.0,16.0,-1400.0,0.0,945.1631252505216,0.0,3
#VRL2RYP2R,TrafalgarDLaw,135-4-20260907T093904.000Z,2026-09-07 09:39:04,#YG0890P,3600.0,16.0,4.0,4932.0,3.6666666666666665,4940.333333333333,-10.0,225.0,1,1,2066.6666666666665,16.0,16.0,129.16666666666666,1.0,1.0,1.0,3.0,1600.0,16.0,0.0,0.0,808.290376865476,0.0,4
#VRLP80L0,Арсений,135-3-20260831T093905.000Z,2026-08-31 09:39:05,#2J9QGUP,1900.0,16.0,1.0,7678.0,1.0,7659.666666666667,20.0,118.75,1,1,2516.6666666666665,13.333333333333334,12.0,190.625,1.0,1.0,0.3333333333333333,3.0,2200.0,12.0,-400.0,0.0,284.3120351538663,2.3094010767585034,3
#VRLP80L0,Арсений,135-4-20260907T093904.000Z,2026-09-07 09:39:04,#2J9QGUP,2850.0,16.0,1.0,7698.0,1.0,7678.0,20.0,178.125,1,1,2233.3333333333335,13.333333333333334,14.0,172.91666666666666,1.0,1.0,0.5,3.0,1900.0,16.0,-300.0,4.0,351.1884584284246,2.3094010767585034,4
#VRQ2P80LL,MWF｜Kenny❄️,135-1-20260817T095206.000Z,2026-08-17 09:52:06,#Y9202P9U,550.0,4.0,1.0,9684.0,1.0,9610.666666666666,100.0,137.5,0,1,133.33333333333334,1.3333333333333333,0.0,33.333333333333336,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,230.9401076758503,2.3094010767585034,3
#VRQ2P80LL,MWF｜Kenny❄️,135-2-20260824T095205.000Z,2026-08-24 09:52:05,#Y9202P9U,0.0,0.0,1.0,9704.0,1.0,9657.333333333334,20.0,0.0,0,0,183.33333333333334,1.3333333333333333,2.0,45.833333333333336,0.5,0.5,0.0,1.0,550.0,4.0,550.0,4.0,317.54264805429415,2.3094010767585034,4
#VRQ2P80LL,MWF｜Kenny❄️,135-3-20260831T095208.000Z,2026-08-31 09:52:08,#Y9202P9U,0.0,0.0,1.0,9724.0,1.0,9704.0,20.0,0.0,0,0,183.33333333333334,1.3333333333333333,2.0,45.833333333333336,0.4,0.5,0.0,1.0,0.0,0.0,-550.0,-4.0,317.54264805429415,2.3094010767585034,5
#VRQ2P80LL,MWF｜Kenny❄️,135-4-20260907T095204.000Z,2026-09-07 09:52:04,#Y9202P9U,0.0,0.0,1.0,9744.0,1.0,9724.0,20.0,0.0,0,0,183.33333333333334,1.3333333333333333,0.0,45.833333333333336,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,317.54264805429415,2.3094010767585034,6
#VRUQ2RR8C,lumpengirl,134-3-20260803T095904.000Z,2026-08-03 09:59:04,#LJ992JG0,2550.0,16.0,1.0,4668.0,2.3333333333333335,4673.0,-5.0,159.375,1,1,2416.6666666666665,16.0,16.0,151.04166666666666,1.0,1.0,1.0,3.0,2550.0,16.0,0.0,0.0,230.94010767585036,0.0,3
#VU2G20QR0,やまつ,134-3-20260803T095950.000Z,2026-08-03 09:59:50,#J29J90P,0.0,0.0,1.0,4938.0,1.6666666666666667,4926.333333333333,20.0,0.0,0,0,800.0,4.0,0.0,66.66666666666667,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1385.6406460551018,6.928203230275509,3
