live_race_id,player_tag,player_name,clan_tag,clan_name,current_fame,current_decks_used,decks_used_today,currently_member,previous_wars_count,last_3_avg_fame,last_3_avg_decks,last_2_avg_decks,last_3_avg_efficiency,last_5_participation_rate,last_5_full_participation_rate,previous_war_fame,previous_war_decks,fame_trend,last_3_fame_std,last_3_decks_std,previous_clan_score,last_3_avg_clan_score,cluster,archetype_name,model_eligible,prediction_tier
Y9202P9U-20260914-section-1,#9YUCJV00,MuK｜⚡Leo⚡,#Y9202P9U,Galactic Kings,0,0,0,0,10.0,2016.6666666666667,10.666666666666666,8.0,126.04166666666667,0.8,0.4,0.0,0.0,-3050.0,1746.6634860021932,9.237604307034013,9864,9790.666666666666,1.0,Inconsistent Contributor,True,ml_model
Y9202P9U-20260914-section-1,#9YV0Q8VRR,AserDerZweite,#9VLJRY2J,Gentleman Jack,0,0,0,1,8.0,1800.0,10.666666666666666,16.0,112.5,0.8,0.8,2300.0,16.0,-800.0,1609.3476939431082,9.237604307034013,5091,5027.666666666667,,Not Enough History,True,ml_model
Y9202P9U-20260914-section-1,#C222JLCG,⭐PRO⭐,#Y9202P9U,Galactic Kings,0,0,0,0,1.0,2300.0,12.0,12.0,191.66666666666666,1.0,0.0,2300.0,12.0,0.0,,,9864,9790.666666666666,,Not Enough History,False,limited_history
Y9202P9U-20260914-section-1,#C2UVV2CLU,Code: Michael,#LUG9LVC0,37XU,0,0,0,0,,,,,,,,,,,,,5037,4997.0,,Not Enough History,False,clan_baseline
Y9202P9U-20260914-section-1,#C9Q20CLGY,❤️ Ana Luiza ❤️,#Y9202P9U,Galactic Kings,0,0,0,1,1.0,2500.0,12.0,12.0,208.33333333333334,1.0,0.0,2500.0,12.0,0.0,,,9864,9790.666666666666,,Not Enough History,False,limited_history
Y9202P9U-20260914-section-1,#CGCVP2G9,MrNobody,#9VLJRY2J,Gentleman Jack,0,0,0,1,7.0,2033.3333333333333,10.666666666666666,16.0,127.08333333333333,0.8,0.8,3050.0,16.0,0.0,1760.9183210283586,9.237604307034013,5091,5027.666666666667,,Not Enough History,True,ml_model
Y9202P9U-20260914-section-1,#CJPL2J82U,Riapyi,#Y9202P9U,Galactic Kings,0,0,0,0,10.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,9864,9790.666666666666,2.0,Low-Participation Player,True,ml_model
Y9202P9U-20260914-section-1,#CJVL8CG8,GK03™,#Y9202P9U,Galactic Kings,0,0,0,0,6.0,1200.0,5.333333333333333,8.0,75.0,0.4,0.2,0.0,0.0,-3600.0,2078.460969082653,9.237604307034013,9864,9790.666666666666,1.0,Inconsistent Contributor,True,ml_model
Y9202P9U-20260914-section-1,#CP08C0CPC,Ricofc,#YV8JLPC2,ILLUMINATI 2.0,0,0,0,0,,,,,,,,,,,,,4877,4890.333333333333,,Not Enough History,False,clan_baseline
Y9202P9U-20260914-section-1,#CP08R9PC9,Wolbecker1,#9VLJRY2J,Gentleman Jack,0,0,0,1,8.0,2200.0,14.666666666666666,14.0,152.08333333333334,1.0,0.8,2900.0,16.0,800.0,655.7438524302,2.3094010767585034,5091,5027.666666666667,,Not Enough History,True,ml_model
Y9202P9U-20260914-section-1,#CPY0UYL,CECILI ON,#YV8JLPC2,ILLUMINATI 2.0,0,0,0,1,10.0,3000.0,16.0,16.0,187.5,1.0,1.0,3100.0,16.0,150.0,86.60254037844386,0.0,4877,4890.333333333333,,Not Enough History,True,ml_model
Y9202P9U-20260914-section-1,#CQ2GQLPCC,Nidia,#LUG9LVC0,37XU,0,0,0,0,10.0,2733.3333333333335,16.0,16.0,170.83333333333334,1.0,1.0,2250.0,16.0,-650.0,425.2450274057691,0.0,5037,4997.0,,Not Enough History,True,ml_model
Y9202P9U-20260914-section-1,#CR0JUCC2,Don-Mehdi,#Y9202P9U,Galactic Kings,0,0,0,0,14.0,1833.3333333333333,10.666666666666666,8.0,114.58333333333333,0.4,0.4,0.0,0.0,-2450.0,1615.8073317488486,9.237604307034013,9864,9790.666666666666,1.0,Inconsistent Contributor,True,ml_model
Y9202P9U-20260914-section-1,#CRUPGCJ,Random,#LUG9LVC0,37XU,0,0,0,1,7.0,2933.3333333333335,16.0,16.0,183.33333333333334,1.0,1.0,3000.0,16.0,200.0,115.47005383792515,0.0,5037,4997.0,,Not Enough History,True,ml_model
Y9202P9U-20260914-section-1,#CU0L2RG8P,Cuttsy Jr,#LUG9LVC0,37XU,0,0,0,0,10.0,1666.6666666666667,9.333333333333334,10.0,183.33333333333334,1.0,0.0,1600.0,8.0,-200.0,115.47005383792515,2.3094010767585034,5037,4997.0,,Not Enough History,True,ml_model
Y9202P9U-20260914-section-1,#CUCJJGYYV,P00fs,#LUG9LVC0,37XU,0,0,0,0,1.0,75.0,1.0,1.0,75.0,1.0,0.0,75.0,1.0,0.0,,,5037,4997.0,,Not Enough History,False,limited_history
Y9202P9U-20260914-section-1,#CUJ0YVLL9,FF｜Soxee™,#Y9202P9U,Galactic Kings,0,0,0,1,10.0,2633.3333333333335,14.666666666666666,16.0,179.51388888888889,1.0,0.6,2400.0,16.0,-950.0,633.1139971074193,2.3094010767585034,9864,9790.666666666666,0.0,Reliable High Performer,True,ml_model
Y9202P9U-20260914-section-1,#CUL90UJC8,ねるねるくん,#J29J90P,isao,0,0,1,1,10.0,2300.0,10.666666666666666,16.0,143.75,0.6,0.4,3300.0,16.0,-300.0,1997.498435543818,9.237604307034013,5098,5038.0,,Not Enough History,True,ml_model
Y9202P9U-20260914-section-1,#CUPV92CQ9,MIMIMIMIMI,#YV8JLPC2,ILLUMINATI 2.0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4877,4890.333333333333,,Not Enough History,False,limited_history
Y9202P9U-20260914-section-1,#CUUUU0U8,<c3>puffy,#LUG9LVC0,37XU,0,0,0,1,10.0,2750.0,16.0,16.0,171.875,1.0,0.8,2250.0,16.0,-850.0,444.40972086577943,0.0,5037,4997.0,,Not Enough History,True,ml_model
Y9202P9U-20260914-section-1,#CV28P8Y0Q,HUDSON-ODOI,#LUG9LVC0,37XU,0,0,0,1,10.0,3166.6666666666665,16.0,16.0,197.91666666666666,1.0,0.6,3150.0,16.0,-350.0,325.32035493238556,0.0,5037,4997.0,,Not Enough History,True,ml_model
